Food Name,Protein (g),Fat (g),Carbohydrates (g),Calories,Sucrose (g),Glucose (g),Fructose (g),Lactose (g),Maltose (g),Sugar (g),Galactose (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potasssium (mg),Sodium (mg),Zinc (mg),Cupper (mg),Manganese (mg),Selenium (mcg),Vitamin A (IU),Retinol (mcg),Retinol Equivalents (mcg),Beta Carotene (mcg),Alpha Carotene (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin D2 (Ergocalciferol)  (mcg),Vitamin D3 (Cholecalciferol) (mcg),Beta Cryptoxanthin (mcg),Lycopene (mcg),Lutein and Zeaxanthin (mcg),Vitamin C (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin B5 (mg),Vitamin B6 (mg),Folate (B9) (mcg),Vitamin B12,Choline (mg),Cholesterol (mg),Saturated Fat (g),Net Carbs
"Butter, salted",0.85,81.11,0.06,717,0,0,0,0,0,0.06,0,0,24,0.02,2,24,24,643,0.09,0,0,1,2499,671,684,158,0,2.32,0,0,0,0,0,0,0,0.005,0.034,0.042,0.11,0.003,3,0.17,18.8,215,51.368,0.06
"Butter, whipped, with salt",0.49,78.3,2.87,718,0,0,0,0,0,0.06,0,0,23,0.05,1,24,41,583,0.05,0.01,0.001,0,2468,671,683,135,1,1.37,0,0,0,6,0,13,0,0.007,0.064,0.022,0.097,0.008,4,0.07,18.8,225,45.39,2.87
"Butter oil, anhydrous",0.28,99.48,0,876,0,0,0,0,0,0,0,0,4,0,0,3,5,2,0.01,0.001,0,0,3069,824,840,193,0,2.8,0,0,0,0,0,0,0,0.001,0.005,0.003,0.01,0.001,0,0.01,22.3,256,61.924,0
"Cheese, blue",21.4,28.74,2.34,353,0,0,0,0,0,0.5,0,0,528,0.31,23,387,256,1146,2.66,0.04,0.009,14.5,721,192,198,74,0,0.25,0.5,0,0.5,0,0,0,0,0.029,0.382,1.016,1.729,0.166,36,1.22,15.4,75,18.669,2.34
"Cheese, brick",23.24,29.68,2.79,371,0,0,0,0,0,0.51,0,0,674,0.43,24,451,136,560,2.6,0.024,0.012,14.5,1080,286,292,76,0,0.26,0.5,0,0.5,0,0,0,0,0.014,0.351,0.118,0.288,0.065,20,1.26,15.4,94,18.764,2.79
"Cheese, brie",20.75,27.68,0.45,334,0,0,0,0,0,0.45,0,0,184,0.5,20,188,152,629,2.38,0.019,0.034,14.5,592,173,174,9,0,0.24,0.5,0,0.5,0,0,0,0,0.07,0.52,0.38,0.69,0.235,65,1.65,15.4,100,17.41,0.45
"Cheese, camembert",19.8,24.26,0.46,300,0,0,0,0,0,0.46,0,0,388,0.33,20,347,187,842,2.38,0.021,0.038,14.5,820,240,241,12,0,0.21,0.4,0,0.4,0,0,0,0,0.028,0.488,0.63,1.364,0.227,62,1.3,15.4,72,15.259,0.46
"Cheese, caraway",25.18,29.2,3.06,376,0,0,0,0,0,0,0,0,673,0.64,22,490,93,690,2.94,0.024,0.021,14.5,1054,262,271,0,0,0,0,0,0,0,0,0,0,0.031,0.45,0.18,0.19,0.074,18,0.27,0,93,18.584,3.06
"Cheese, cheddar",22.87,33.31,3.09,404,0,0.26,0,0.12,0,0.48,0.1,0,710,0.14,27,455,76,653,3.64,0.03,0.027,28.5,1242,330,330,85,0,0.71,0.6,0,0.6,0,0,0,0,0.029,0.428,0.059,0.41,0.066,27,1.1,16.5,99,18.867,3.09
"Cheese, cheshire",23.37,30.6,4.78,387,0,0,0,0,0,0,0,0,643,0.21,21,464,95,700,2.79,0.042,0.012,14.5,985,220,233,0,0,0,0,0,0,0,0,0,0,0.046,0.293,0.08,0.413,0.074,18,0.83,0,103,19.475,4.78
"Cheese, colby",23.76,32.11,2.57,394,0,0,0,0,0,0.52,0,0,685,0.76,26,457,127,604,3.07,0.042,0.012,14.5,994,257,264,82,0,0.28,0.6,0,0.6,0,0,0,0,0.015,0.375,0.093,0.21,0.079,18,0.83,15.4,95,20.218,2.57
"Cheese, cottage, creamed, large or small curd",11.12,4.3,3.38,98,0,0,0,2.67,0,2.67,0,0,83,0.07,8,159,104,364,0.4,0.029,0.002,9.7,140,36,37,12,0,0.08,0.1,0,0.1,0,0,0,0,0.027,0.163,0.099,0.557,0.046,12,0.43,18.4,17,1.718,3.38
"Cheese, cottage, creamed, with fruit",10.69,3.85,4.61,97,0,0,0,0,0,2.38,0,0.2,53,0.16,7,113,90,344,0.33,0.04,0.003,7.7,146,37,38,14,0,0.04,0,0,0,0,0,0,1.4,0.033,0.142,0.15,0.181,0.068,11,0.53,17.5,13,2.311,4.41
"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",10.34,0.29,6.66,72,0,0.29,0,1.56,0,1.85,0,0,86,0.15,11,190,137,372,0.47,0.03,0.022,9.4,8,2,2,0,0,0.01,0,0,0,0,0,0,0,0.023,0.226,0.144,0.446,0.016,9,0.46,17.9,7,0.169,6.66
"Cheese, cottage, lowfat, 2% milkfat",10.45,2.27,4.76,81,0,0,0,3.87,0,4,0.12,0,111,0.13,9,150,125,308,0.51,0.033,0.015,11.9,225,68,68,6,0,0.08,0,0,0,0,0,0,0,0.02,0.251,0.103,0.524,0.057,8,0.47,16.3,12,1.235,4.76
"Cheese, cottage, lowfat, 1% milkfat",12.39,1.02,2.72,72,0,0,0,0,0,2.72,0,0,61,0.14,5,134,86,406,0.38,0.028,0.003,9,41,11,11,3,0,0.01,0,0,0,0,0,0,0,0.021,0.165,0.128,0.215,0.068,12,0.63,17.5,4,0.645,2.72
